asset,sma_fast,sma_slow,combo,gross_return,net_return,hold_return,outperform,trades,max_dd
XRP,10,30,10/30,33.241575201364995,30.041575201364996,-10.079894667612288,40.121469868977286,32,-7.792019443487526
SOL,12,26,12/26,30.69738426979872,27.997384269798722,-15.393417428675281,43.39080169847401,27,-6.661058104986275
ETH,10,30,10/30,26.436713645607256,24.136713645607255,-18.2601755027614,42.39688914836866,23,-9.27100596702232
XRP,12,26,12/26,25.364789640447682,22.56478964044768,-10.079894667612288,32.64468430805997,28,-8.899273487582454
ETH,15,40,15/40,24.43988475996616,22.339884759966157,-18.2601755027614,40.60006026272755,21,-7.3775938923955575
ETH,10,50,10/50,23.796056545862022,22.296056545862022,-18.2601755027614,40.55623204862342,15,-8.305677103828563
XRP,8,21,8/21,25.452598419358807,22.05259841935881,-10.079894667612288,32.132493086971095,34,-10.488233395972859
SOL,8,21,8/21,26.546023601098266,21.946023601098265,-15.393417428675281,37.339441029773546,46,-9.66086896406711
ADA,20,50,20/50,21.687496873029676,20.187496873029676,-12.137987129958105,32.32548400298778,15,-15.18107119910842
ADA,12,26,12/26,22.398288968502346,19.898288968502346,-12.137987129958105,32.03627609846045,25,-14.947513176816326
SOL,10,30,10/30,21.937534861075292,19.83753486107529,-15.393417428675281,35.230952289750576,21,-7.984090748166041
XRP,20,50,20/50,21.29155333893038,19.79155333893038,-10.079894667612288,29.87144800654267,15,-9.816121034216536
BTC,10,50,10/50,21.478249165926265,19.578249165926266,-9.803672186560586,29.381921352486852,19,-6.37772023948843
SOL,10,50,10/50,20.797025338054066,19.097025338054067,-15.393417428675281,34.490442766729345,17,-6.610702659838681
ADA,10,50,10/50,20.264397851248507,18.764397851248507,-12.137987129958105,30.902384981206612,15,-15.18107119910842
ETH,12,26,12/26,21.23435531002028,18.13435531002028,-18.2601755027614,36.39453081278168,31,-9.538869786774452
XRP,10,50,10/50,19.374916398199705,18.074916398199704,-10.079894667612288,28.15481106581199,13,-9.816121034216536
BTC,20,50,20/50,19.392282107555303,17.692282107555304,-9.803672186560586,27.49595429411589,17,-4.568350927968865
ETH,20,50,20/50,18.729750812899194,17.229750812899194,-18.2601755027614,35.4899263156606,15,-7.662533541586712
XRP,15,40,15/40,18.93155606887691,17.03155606887691,-10.079894667612288,27.111450736489196,19,-10.613534853457987
AVAX,12,26,12/26,18.79546239026515,15.79546239026515,-17.362163789802665,33.157626180067815,30,-12.386215756771064
DOGE,20,50,20/50,16.8001353739642,15.500135373964198,-11.802588770682599,27.302724144646795,13,-17.03004321229639
LINK,20,100,20/100,16.2468015289691,15.3468015289691,-18.704116266204153,34.050917795173255,9,-14.20835092834152
BTC,12,26,12/26,17.479084213187846,14.179084213187846,-9.803672186560586,23.982756399748432,33,-5.357354369560196
ETH,20,100,20/100,13.834833309233108,12.934833309233108,-18.2601755027614,31.195008811994505,9,-11.648150567408756
XRP,5,20,5/20,16.435219074277473,12.235219074277474,-10.079894667612288,22.31511374188976,42,-19.32398115084666
AVAX,10,30,10/30,15.090304146093313,12.190304146093313,-17.362163789802665,29.552467935895976,29,-13.369719338909682
LINK,15,40,15/40,13.991475609343585,12.091475609343584,-18.704116266204153,30.795591875547736,19,-10.02791018692472
SOL,20,100,20/100,13.141798898360236,11.841798898360235,-15.393417428675281,27.235216327035516,13,-12.764894854396768
LINK,10,50,10/50,13.151324327602898,11.651324327602898,-18.704116266204153,30.355440593807053,15,-12.568284334760069
ETH,5,20,5/20,15.360059347708333,10.660059347708334,-18.2601755027614,28.920234850469733,47,-14.219258663587803
ETH,8,21,8/21,14.284101149092033,9.984101149092034,-18.2601755027614,28.244276651853433,43,-15.295742248293049
LINK,20,50,20/50,11.032257079372865,9.732257079372864,-18.704116266204153,28.436373345577017,13,-10.428280103615975
DOGE,10,50,10/50,10.424914213593894,9.124914213593893,-11.802588770682599,20.927502984276494,13,-22.190163821525292
ADA,8,21,8/21,12.829580978873267,8.629580978873268,-12.137987129958105,20.767568108831373,42,-17.041042098514144
BTC,10,30,10/30,10.337373594554666,6.837373594554666,-9.803672186560586,16.641045781115253,35,-7.513569251070479
AVAX,15,40,15/40,8.06548777181133,6.5654877718113305,-17.362163789802665,23.927651561613995,15,-16.725172217374343
BTC,15,40,15/40,8.764510176026285,6.464510176026284,-9.803672186560586,16.26818236258687,23,-6.0680854777901425
ADA,15,40,15/40,7.809087613704346,6.109087613704346,-12.137987129958105,18.247074743662452,17,-16.235495167057316
AVAX,10,50,10/50,7.427084441336218,5.927084441336218,-17.362163789802665,23.289248231138885,15,-15.208890630216928
ADA,10,30,10/30,8.323218221202755,5.623218221202754,-12.137987129958105,17.76120535116086,27,-14.595692272373395
SOL,20,50,20/50,6.2118213076472255,4.511821307647225,-15.393417428675281,19.905238736322506,17,-11.893523341168885
BTC,20,100,20/100,5.283243104268376,4.3832431042683755,-9.803672186560586,14.186915290828962,9,-8.257181561692452
LINK,10,30,10/30,5.470499843131005,3.170499843131005,-18.704116266204153,21.874616109335157,23,-14.691901955419418
DOGE,12,26,12/26,5.7352006608375135,2.2352006608375135,-11.802588770682599,14.037789431520112,35,-16.475764089491243
AVAX,20,50,20/50,3.1409951536378156,1.8409951536378155,-17.362163789802665,19.20315894344048,13,-20.04585759244352
DOGE,20,100,20/100,2.2911346034137137,1.5911346034137135,-11.802588770682599,13.393723374096313,7,-21.82883144726297
SOL,15,40,15/40,2.855422459869661,1.1554224598696607,-15.393417428675281,16.548839888544943,17,-11.58937540026841
DOGE,15,40,15/40,1.1911797243330136,-0.5088202756669866,-11.802588770682599,11.293768495015613,17,-24.564803629777103
SOL,5,20,5/20,4.4712859716543925,-0.5287140283456075,-15.393417428675281,14.864703400329674,50,-20.607010113982664
DOGE,8,21,8/21,2.9219543494702127,-1.6780456505297878,-11.802588770682599,10.124543120152811,46,-18.633792285204986
BTC,8,21,8/21,1.6574695511516913,-3.042530448848309,-9.803672186560586,6.761141737712277,47,-14.354586939209543
DOGE,10,30,10/30,-1.1542949735928398,-4.25429497359284,-11.802588770682599,7.548293797089759,31,-13.622654942077888
LINK,12,26,12/26,-3.0251662816922154,-6.125166281692215,-18.704116266204153,12.578949984511937,31,-22.091960758204674
XRP,20,100,20/100,-5.216413940286091,-6.3164139402860915,-10.079894667612288,3.763480727326197,11,-17.522313964897528
AVAX,5,20,5/20,-2.3699720059985108,-7.1699720059985115,-17.362163789802665,10.192191783804153,48,-19.90198654115488
BTC,5,20,5/20,-2.9429719790065256,-7.842971979006526,-9.803672186560586,1.9607002075540603,49,-17.510829301858802
DOGE,5,20,5/20,-2.9641950160707364,-8.164195016070737,-11.802588770682599,3.6383937546118617,52,-26.894762410404834
LINK,8,21,8/21,-7.915481861702823,-12.715481861702823,-18.704116266204153,5.9886344045013296,48,-24.58822308073024
AVAX,20,100,20/100,-15.478456695706399,-16.378456695706397,-17.362163789802665,0.9837070940962676,9,-24.874993262047035
ADA,5,20,5/20,-12.34123927254892,-17.141239272548923,-12.137987129958105,-5.003252142590817,48,-31.33864094013163
ADA,20,100,20/100,-20.493486231505877,-21.793486231505877,-12.137987129958105,-9.655499101547772,13,-31.487714012416255
AVAX,8,21,8/21,-17.878745027952768,-22.47874502795277,-17.362163789802665,-5.116581238150104,46,-29.09309547446157
LINK,5,20,5/20,-22.64917547938393,-28.049175479383933,-18.704116266204153,-9.34505921317978,54,-32.74501707404005
